Question,Response,Response Time
What announcement did UK Prime Minister Rishi Sunak make regarding the high-speed rail project in the United Kingdom?,UK Prime Minister Rishi Sunak announced the cancellation of the northern leg of the HS2 high-speed rail link project in the United Kingdom. He pledged billions for transport projects across the country after scrapping this part of the project.,5.845472
How many workers from Kaiser Permanente went on strike in the United States?,"Over 75,000 workers from Kaiser Permanente went on strike in the United States.",5.989648
What caused the increase in the gap between Italy and Germany's 10-year bond yields?,The increase in the gap between Italy and Germany's 10-year bond yields was due to the widening spread between the two countries. This widening spread is closely monitored by analysts as a sign of differing factors affecting the bond yields of Italy and Germany.,6.34976
"What were the consequences of the severe flooding in Sikkim, India?","The severe flooding in Sikkim, India, following a sudden glacial lake burst, claimed several lives and caused widespread damage. Roads, bridges, and homes were washed away, and part of the state's biggest hydropower project, Sikkim Urja, was also affected. The Teesta River took a furious form due to the flooding.",6.227286
What did the United States and Russia test?,"The United States and Russia have been testing space-based nuclear weapons that are designed to threaten America's satellite network. The launch of the antisatellite weapon does not appear imminent, but there is a limited window of time to prevent its deployment. The United States does not currently have the ability to counter such a weapon and defend its satellites. This information was made public by Representative Michael R. Turner, the chairman of the House Intelligence Committee.",6.141728
Who emerged victorious in the 44th Ryder Cup?,Europe emerged victorious in the 44th Ryder Cup.,5.272093
What record did Kelvin Kiptum set at the Chicago Marathon?,"Kelvin Kiptum set a world record in the men's marathon at the Chicago Marathon last year, finishing in 2 hours, 35 seconds.",6.18283
"Where did a suicide bomber blow himself up, injuring two police officers?","A suicide bomber blew himself up in front of the General Directorate of Security building in the Turkish capital, Ankara, injuring two police officers.",5.833218
"Where did the 5th International Conference on Stem Cells, Tissue Engineering & Regenerative Medicine take place?","The 5th International Conference on Stem Cells, Tissue Engineering & Regenerative Medicine took place in Rome, Italy on May 18-19, 2023.",5.639414
Where was the 2023 International Conference on Power and Renewable Energy Engineering (PREE 2023) held?,"The 2023 International Conference on Power and Renewable Energy Engineering (PREE 2023) was held in Tokyo, Japan.",5.580921
